iso_code,Country,total_cases,total_cases_per_million,Average Increasing rate(valid data),ratio of Total_cases to Lasting time,Death rate,Average Temperature-May,Average Temperature-April,Average Temperature-April&May,Population density (people per sq. km of land area),GDP per capita (constant 2010 US$),Current health expenditure(% of GDP),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Adjusted savings: education expenditure (% of GNI),Urban population (% of total population),People using at least basic sanitation services (% of population),"Physicians (per 1,000 people)",Haq index
LTU,Lithuania,1562,573.781,0.093103646,7.54975,0.038412292,9.484615385,6.423333333,7.953974359,44.72307577,17632.61293,6.457564235,57.70399857,6.352000237,3.875043134,67.679,93.35363515,4.8257,67
LUX,Luxembourg,3958,6322.926,0.096767761,83.19639474,0.027539161,9.484615385,6.423333333,7.953974359,250.1851852,110701.8772,5.481074378,56.14599991,5.362999916,5.473272925,90.981,97.60054021,3.009,74.5
LVA,Latvia,1012,536.528,0.090234208,6.967896104,0.020750988,8.753846154,6.366666667,7.56025641,30.99347057,16263.61796,5.955661833,57.40800095,6.519999981,4.291350683,68.142,92.14826586,3.1905,65.7
MAR,Morocco,7023,190.271,0.115063943,2.57122973,0.027481133,28.31025641,28.13277778,28.22151709,80.72851893,3361.223789,5.245200172,41.22000122,9.019000053,5.2,62.453,88.50364407,0.7308,44
MDA,Moldova,6340,1571.655,0.102972156,21.52952055,0.034858044,28.31025641,28.13277778,28.22151709,123.5198035,3496.887139,7.012950629,40.72800064,5.47300005,4.646475125,42.629,76.30819923,3.2066,59.6
MDV,Maldives,1143,2114.544,0.076100197,28.96635616,0.003499563,11.93076923,8.055555556,9.993162393,1718.986667,8033.325627,9.029976279,65.50700378,6.138000011,4.391921198,39.808,99.37299807,3.7228,45.9
MEX,Mexico,54346,421.507,0.133790129,5.546144737,0.104257903,27.67307809,26.43448504,27.05378157,64.91462641,10403.5404,5.516541377,58.60200119,3.424999952,4.875959887,80.156,91.18305556,2.3827,49.2
MKD,Macedonia,1839,882.7,0.094563055,11.46363636,0.057640022,9.484615385,6.423333333,7.953974359,82.59151467,5394.288478,6.062114984,45.30899811,17.75900078,3.268652204,57.963,99.12474221,,61.9
MLI,Mali,901,44.492,0.091352293,0.780561404,0.058823529,33.34615385,33.555,33.45057692,15.63501586,777.8605975,3.793985024,65.6969986,7.223999977,3.797814924,42.356,39.33542034,,32.7
MLT,Malta,560,1268.291,0.069865949,16.68803947,0.010714286,33.34615385,33.555,33.45057692,1514.46875,28529.39758,9.340999275,54.56399918,3.47300005,4.748770523,94.612,99.95599411,,74.7
MNE,Montenegro,324,515.873,0.061536777,7.936507692,0.027777778,28.31025641,28.13277778,28.22151709,46.26223048,8245.690937,,46.3409996,14.88300037,,66.813,97.77387829,,70.2
MNG,Mongolia,140,42.705,0.05466258,0.63738806,0,28.31025641,28.13277778,28.22151709,2.040608667,4210.042293,4.002301022,56.0890007,6.011000156,4.332735857,68.445,58.47939277,,42.3
MUS,Mauritius,332,261.054,0.057588316,4.143714286,0.030120482,19.67692308,16.27666667,17.97679487,623.3019704,10578.61732,5.718720704,54.42100143,6.673999786,4.77,40.793,95.50483771,2.3147,53.6
MYS,Malaysia,6978,215.597,0.067476607,1.82709322,0.016337059,11.93076923,8.055555556,9.993162393,95.96282149,12120.08326,3.859398142,62.15200043,3.323999882,4.39022207,76.036,99.57203616,,54.2
NER,Niger,914,37.758,0.08115148,0.609,0.060175055,24.50657051,26.60267241,25.55462146,17.71765059,403.4852866,7.739962637,71.69999695,0.474999994,3.536147642,16.425,13.56665969,,31.8
NGA,Nigeria,6401,31.052,0.116599159,0.419621622,0.029995313,24.50657051,26.60267241,25.55462146,215.064989,2396.310914,3.755538538,48.6230011,8.095999718,0.85,50.344,39.1717541,,38.3
NLD,Netherlands,44249,2582.394,0.115877079,30.38110588,0.129155461,24.50657051,26.60267241,25.55462146,511.4759276,55020.97997,10.10083482,61.5870018,3.196000099,4.960042231,91.49,97.71361006,3.6054,79.2
NOR,Norway,8257,1523.083,0.09588064,17.71026744,0.028218481,34.85961538,34.7565,34.80805769,14.54829163,92119.52296,10.44634208,61.66899872,3.345999956,6.657312592,82.248,98.0543915,2.8342,77.5
NZL,New Zealand,1153,239.101,0.09049604,3.146065789,0.018213356,24.50657051,26.60267241,25.55462146,18.38517337,38346.63765,9.170055389,67.06300354,4.068999767,7.37,86.538,100,3.4728,74.2
OMN,Oman,5671,1110.519,0.099143454,13.54291463,0.004761065,34.85961538,34.7565,34.80805769,15.6041454,15796.77309,3.849071637,70.43599701,2.671000004,6.497269094,84.539,99.99999868,1.9572,66.1
PAK,Pakistan,45898,207.784,0.111901608,2.565234568,0.02146063,34.85961538,34.7565,34.80805769,275.2893187,1197.842744,2.898633666,50.23199844,4.453000069,2.027349164,36.666,59.86949503,1.0005,36.5
PAN,Panama,9867,2286.797,0.11156038,30.90266216,0.028478768,34.85961538,34.7565,34.80805769,56.18607748,11723.93056,7.319491357,63.99100113,3.90199995,2.8,67.709,83.31545897,,52.9
PER,Peru,99483,3017.211,0.138017965,39.70014474,0.029291437,34.85961538,34.7565,34.80805769,24.99160625,6453.560525,4.995150492,75.06300354,3.309999943,3.253984858,77.907,74.34295659,,45.9
PHL,Philippines,12942,118.104,0.080559605,1.073672727,0.064673157,34.85961538,34.7565,34.80805769,357.6883053,3021.986863,4.44640778,58.3390007,2.150000095,1.84,46.907,76.53350207,0.6004,45
POL,Poland,19268,509.108,0.117827401,6.527025641,0.049200747,34.85961538,34.7565,34.80805769,124.0234822,16660.99827,6.541953981,54.73099899,3.473999977,4.57823921,60.058,98.79661022,2.3788,62.1
PRI,Puerto Rico,2805,980.481,0.063754609,17.82692727,0.044206774,27.86153846,27.43333333,27.6474359,360.2201804,27340.65417,,36.04999924,8.187000275,8.62496715,93.578,97.17055271,,64.5
PRT,Portugal,29432,2886.422,0.114926279,35.63483951,0.04236885,17.80721154,16.19333333,17.00027244,112.2619412,23989.85595,8.969574422,55.08599854,6.334000111,4.77909796,65.211,99.60892314,5.124,67.2
PRY,Paraguay,829,116.228,0.090756112,1.614277778,0.013268999,34.85961538,34.7565,34.80805769,17.50835892,5396.480812,6.654568762,68.6269989,4.809000015,3.362359214,61.585,89.78369143,0.2399,53
PSE,Palestine,570,111.734,0.052405913,1.509918919,0.007017544,34.85961538,34.7565,34.80805769,758.9845515,2680.318123,,32.36600113,26.16900063,,76.164,96.93900691,,61.8
QAT,Qatar,35606,12358.646,0.11284221,156.438557,0.000421277,31.03846154,27.84,29.43923077,239.5931955,63260.5585,2.607428655,86.74099731,0.090999998,2.229196043,99.135,100,0.0008,70.8
ROU,Romania,17191,893.611,0.11150167,10.63822619,0.065499389,8.566666667,5.235555556,6.901111111,84.60598487,11536.679,5.157888308,52.48899841,3.976000071,2.81,53.998,84.30992434,2.9807,58.3
RUS,Russia,299941,2055.313,0.101742674,18.35100893,0.009458527,5.012938534,-0.138513452,2.437212541,8.822079555,11729.0891,5.344577879,58.9679985,4.585000038,3.621111542,74.433,90.48222462,,61.4
RWA,Rwanda,308,23.78,0.065804008,0.349705882,0,5.012938534,-0.138513452,2.437212541,498.6598703,824.5188484,6.571598351,82.79299927,1.029999971,3.156746005,17.211,66.5738424,0.1371,29.9
SAU,Saudi Arabia,59854,1719.257,0.119886274,22.32801299,0.005496709,30.30288462,27.13769231,28.72028846,15.67665431,20819.74457,5.23025319,52.56800079,5.927000046,7.1861867,83.844,100,2.5366,63.4
SDN,Sudan,2591,59.089,0.100435782,0.856362319,0.040524894,16.48632479,12.95111111,14.71871795,,1855.626292,6.341807544,40.43000031,16.53499985,2.18,34.642,36.57503249,0.2618,36.6
SEN,Senegal,2617,156.295,0.103725604,2.112094595,0.011463508,30.30288462,27.13769231,28.72028846,82.34747832,1546.520159,4.134063795,42.66699982,6.604000092,4.988725754,47.192,51.47398952,0.0691,37.6
SGP,Singapore,28794,4921.763,0.079913061,41.01469167,0.000764048,29.15384615,29.28666667,29.22025641,7952.998418,58247.87264,4.440382868,67.63999939,4.109000206,2.76,100,100,,67.4
SLE,Sierra Leone,534,66.943,0.108303476,1.312607843,0.061797753,29.15384615,29.28666667,29.22025641,105.987171,472.8254381,13.42092752,55.33300018,4.427999973,2.713514343,42.055,15.65266158,,37.6
SLV,El Salvador,1498,230.952,0.097793604,3.608625,0.020694259,31.59230769,32.26956522,31.93093645,309.8814672,3511.453782,7.227560133,56.66799927,4.110000134,3.560786185,72.023,87.43356667,,44.3
SOM,Somalia,1502,94.506,0.093191933,1.431909091,0.039280959,29.15384615,29.28666667,29.22025641,23.9234769,,,42.01800156,11.35099983,0.991144636,44.971,38.33638026,,29.1
SRB,Serbia,10733,1577.316,0.112699158,21.31508108,0.021801919,30.30288462,27.13769231,28.72028846,79.8376858,6885.987505,8.433958143,47.91500092,12.68599987,3.772918523,56.092,97.56719903,,64.2
SSD,South Sudan,285,25.461,0.094483546,0.5535,0.021052632,30.4,29.26153846,29.83076923,,,9.760994464,63.52299881,12.24400043,1.762725033,19.615,11.32168431,,33.4
STP,Sao Tome and Principe,251,1145.277,0.058777317,26.63434884,0.03187251,5.012938534,-0.138513452,2.437212541,219.8208333,1297.358572,6.229991466,50.06399918,13.36900043,3.48,72.803,42.97494428,0.0531,41.3
SVK,Slovakia,1495,273.827,0.080921989,3.651026667,0.018729097,29.15384615,29.28666667,29.22025641,113.2855865,20600.0545,6.742534786,56.22999954,5.56099987,3.75929046,53.726,97.93813039,3.4156,66.6
SVN,Slovenia,1467,705.651,0.072249424,9.164298701,0.070892979,29.15384615,29.28666667,29.22025641,102.9636605,26684.21117,8.18701759,55.9129982,4.195000172,4.299492427,54.541,99.10956793,3.0861,71.2
SWE,Sweden,30799,3049.626,0.085955312,27.22880357,0.12152992,4.355769231,2.722738095,3.539253663,24.98149812,57966.69647,11.01874635,60.38100052,6.475999832,7.246129521,87.431,99.29552038,,80.4
SWZ,Swaziland,208,179.285,0.064013434,2.636544118,0.009615385,-4.053846154,-8.88,-6.466923077,66.05761628,4773.917382,6.930378079,40.90999985,22.08300018,6.790915872,23.799,58.35198329,,41.5
TCD,Chad,545,33.179,0.086037025,0.526650794,0.102752294,35.38843823,36.36847576,35.878457,12.29173364,813.3424788,4.487301409,69.36199951,1.891000032,1.765598438,23.059,8.342483278,0.0434,35.6
TGO,Togo,338,40.827,0.06201254,0.591695652,0.035502959,30.8,32.78076923,31.79038462,145.0467733,676.8521955,6.199512258,76.01100159,2.038000107,4.863920311,41.702,16.1321037,0.0299,37.4
